City,State,Outdoorsy,Relaxing,Festive,Historic,Touristy,Low-Key,Artsy
Phoenix,AZ,1,0,0,0,0,0,0
Los Angeles,CA,0,0,1,0,1,0,1
San Francisco,CA,1,0,1,1,1,0,1
San Diego,CA,1,1,0,0,1,0,0
San Jose,CA,1,0,0,0,0,1,0
Sacramento,CA,0,1,0,0,0,1,0
Anaheim,CA,0,0,1,0,1,0,0
Denver,CO,1,1,0,0,0,0,1
Washington,DC,1,0,0,1,1,0,0
Miami,FL,0,1,1,1,1,0,1
Orlando,FL,0,0,1,0,1,0,0
Fort Lauderdale,FL,1,1,0,0,0,0,0
Tampa,FL,1,1,0,0,0,1,0
Key West,FL,1,1,1,0,0,0,0
Atlanta,GA,0,0,1,1,0,0,1
Honolulu,HI,1,1,0,0,1,0,0
Chicago,IL,0,0,1,1,1,0,1
Indianapolis,IN,0,0,0,0,0,1,0
Cincinnati,OH,0,0,0,1,0,1,0
New Orleans,LA,0,0,1,1,1,0,0
Boston,MA,0,0,1,1,1,0,1
Detroit,MI,0,0,0,1,0,0,0
Minneapolis,MN,1,0,0,0,0,1,0
St. Louis,MO,0,0,0,1,0,0,0
Kansas City,MO,0,0,0,0,0,1,0
Las Vegas,NV,0,0,1,0,1,0,0
New York,NY,0,0,1,0,1,0,1
Cleveland,OH,0,0,0,1,0,1,0
Portland,OR,1,1,0,0,0,0,1
Philadelphia,PA,0,0,0,1,0,0,0
Pittsburgh,PA,0,0,0,0,1,1,0
San Juan,PR,1,1,1,1,1,0,0
Providence,RI,0,0,0,1,0,1,1
Nashville,TN,1,0,1,1,1,0,0
Memphis,TN,1,0,0,0,0,0,1
Dallas,TX,0,0,1,0,0,0,0
Houston,TX,0,0,0,1,0,0,0
Austin,TX,0,1,1,0,0,0,1
San Antonio,TX,0,0,0,1,1,0,0
Salt Lake City,UT,1,0,0,0,0,1,0
Seattle,WA,1,0,1,0,1,0,1
Milwaukee,WI,1,0,1,0,0,1,0
Charleston,SC,1,0,0,1,0,0,0
Montreal,QC,0,0,1,1,1,0,1
Toronto,ON,0,0,1,0,1,0,0
Vancouver,BC,1,0,1,0,1,0,1
